,x,y
0,6,10.542570533818344
1,10,-7.707284600428114
2,3,6.0200484768306675
3,3,4.47442731802381
4,10,26.235982567483205
5,7,17.015365385054604
6,1,5.950136589190713
7,0,5.063186518667084
8,2,-4.967289284649617
9,4,3.6375681170658574
10,10,3.2758135108863673
11,7,11.162529202473847
12,4,5.2703276908763765
13,10,21.29858114126636
14,5,1.6803836279995892
15,1,9.48683185684218
16,3,-4.374468207453923
17,10,22.22901142032265
18,10,21.59077618803596
19,6,-1.1848834109890483
20,7,10.689247107438316
21,4,-7.54659643521515
22,1,1.7688621189203615
23,2,5.9253538114234505
24,1,18.89244124301591
25,2,6.27034468561253
26,10,7.174581452533557
27,3,2.6791434727568264
28,3,10.503557151289113
29,4,0.49924495821178017
30,0,5.776415469865527
31,5,5.01912726361099
32,5,-2.8118988451792184
33,2,11.945501719888384
34,7,3.4142938093989663
35,4,12.27280671499743
36,4,1.5448455319488792
37,2,-0.1517650239574886
38,4,14.12051653594668
39,5,14.194054672791946
40,2,-11.139227574458733
41,0,2.9892816039774757
42,6,4.319690274569913
43,1,1.5730804538920133
44,4,-4.845239591922214
45,2,6.317839320479096
46,10,14.25335268309614
47,3,5.49280775038268
48,6,15.26542088045685
49,2,6.584414459996172
50,10,7.314427028148244
51,2,-1.479482103297661
52,4,7.297682785256478
53,2,18.58685871341917
54,2,0.09967082810647288
55,0,-1.1915703147426564
56,1,1.6145858801475055
57,4,13.067016117563814
58,6,5.733753297248967
59,1,8.400327910964151
60,3,-2.9281890761672464
61,6,-3.289704945921157
62,1,4.713825265548975
63,4,-2.657124153773104
64,6,9.322608636064858
65,10,6.971389578120256
66,4,6.517314708190439
67,4,5.792482148257617
68,4,12.219777947984053
69,3,2.1196567787247425
70,7,-6.705420249279841
71,6,16.449566373153466
72,4,10.527002139010332
73,10,15.934014507163697
74,4,8.30192131842509
75,1,6.828636738834509
76,0,7.8501066455664725
77,3,-1.4250528488109708
78,2,10.524577682104008
79,4,2.835248649755517
80,10,0.3956278504465036
81,3,2.6194293962411175
82,4,26.719324547290206
83,5,9.860558990756882
84,1,10.081851932946895
85,10,4.582136627552654
86,7,23.998037963205775
87,5,6.44344901172485
88,4,6.268769222759435
89,10,8.840342680105083
90,4,0.4720069998974781
91,4,9.452802795202347
92,1,-3.803695478255147
93,3,5.366817485915679
94,7,11.042895982480102
95,5,-0.6311163384418537
96,4,22.577831708244304
97,1,7.459537447235529
98,10,28.380709837481522
99,2,6.942175433500864
100,10,-3.285012595976273
101,10,10.214030161644104
102,2,5.264420067381376
103,6,9.994320887818503
104,5,-1.7076461934373501
105,1,5.039943921877674
106,0,3.5302752716273647
107,1,12.116647986877053
108,6,-3.741613475148945
109,3,5.572535116580517
