,x,true_y,censor_y,y,censored
0,7,90.39037586755167,30.30110254565352,90.39037586755167,False
1,3,58.475036054654815,29.085866674177446,58.475036054654815,False
2,0,17.9687986197456,29.448466587955423,29.448466587955423,True
3,10,78.47250775432568,30.21410055357273,78.47250775432568,False
4,5,50.096925231920096,30.64959566506603,50.096925231920096,False
5,6,80.82802707228993,28.924394359960118,80.82802707228993,False
6,10,38.85053532421618,30.242785539976406,38.85053532421618,False
7,0,31.706382624124828,30.41316229258945,31.706382624124828,False
8,4,64.15626116996819,29.5689826973067,64.15626116996819,False
9,6,104.9157049997163,30.619699421816705,104.9157049997163,False
10,0,11.100797438449376,28.933807383155003,28.933807383155003,True
11,7,69.80022056353013,30.431335391627403,69.80022056353013,False
12,6,55.822047231556276,28.54239777620374,55.822047231556276,False
13,6,96.82594954466354,29.874563114023523,96.82594954466354,False
14,4,66.943986300519,30.26615476525081,66.943986300519,False
15,1,25.254531920155827,30.93896653340915,30.93896653340915,True
16,7,36.99847398202762,30.048742227505517,36.99847398202762,False
17,4,45.86651046787248,31.186860534432434,45.86651046787248,False
18,7,117.22666796048773,28.129269532224683,117.22666796048773,False
19,5,55.67800013958112,30.01113782878893,55.67800013958112,False
20,3,31.243916171327758,28.315497543708442,31.243916171327758,False
21,5,63.381868355386246,30.201319488118344,63.381868355386246,False
22,2,21.3805766314439,29.083735321834304,29.083735321834304,True
23,10,186.09081814426884,30.230558368260443,186.09081814426884,False
24,4,47.52279873693856,30.781345911445367,47.52279873693856,False
25,3,50.18399928088729,29.066119922135012,50.18399928088729,False
26,5,78.24232859271896,30.40437715424392,78.24232859271896,False
27,10,79.72132325720573,30.116166517962075,79.72132325720573,False
28,0,35.66300311096498,29.900148840060325,35.66300311096498,False
29,0,41.01465203736825,29.58296401171389,41.01465203736825,False
30,7,28.04495624951848,30.184869555371858,30.184869555371858,True
31,6,83.24727039891533,30.8459377799181,83.24727039891533,False
32,10,90.35145859939368,30.369585382165276,90.35145859939368,False
33,4,79.33373598356762,30.540436893909515,79.33373598356762,False
34,4,34.003083785860774,29.9521545468171,34.003083785860774,False
35,7,113.72393744554627,29.73708422461876,113.72393744554627,False
36,1,22.368647106722776,29.029481789256064,29.029481789256064,True
37,1,10.813260558850077,30.826354175966447,30.826354175966447,True
38,6,77.75519386456226,29.97200929530072,77.75519386456226,False
39,5,42.1876461059778,30.6467341051854,42.1876461059778,False
40,6,72.2659820296788,31.34704928175554,72.2659820296788,False
41,2,49.07456530056582,29.189919938167964,49.07456530056582,False
42,4,47.644161096159834,31.03452643200718,47.644161096159834,False
43,0,18.768023618667776,31.660411217117307,31.660411217117307,True
44,6,56.832424990998,29.243610859496073,56.832424990998,False
45,1,30.0588935715695,30.167404399665386,30.167404399665386,True
46,10,93.97323640675712,29.327247904505413,93.97323640675712,False
47,0,25.65062640530511,30.29470529919712,30.29470529919712,True
48,3,37.32117943396299,29.448901711279905,37.32117943396299,False
49,3,61.61813680603653,30.120549609317223,61.61813680603653,False
50,7,57.46350719198502,29.683270758841452,57.46350719198502,False
51,3,41.7448859333462,31.130700840565165,41.7448859333462,False
52,7,48.19014442771541,31.045845807367055,48.19014442771541,False
53,7,31.471784637625063,28.629583951455675,31.471784637625063,False
54,4,51.10313038163805,29.951894187311186,51.10313038163805,False
55,2,33.28978782236233,29.289265779370755,33.28978782236233,False
56,4,50.649667858704674,30.01669503601229,50.649667858704674,False
57,10,40.58093235871833,29.332762226417994,40.58093235871833,False
58,0,7.45421128912845,29.08140738239428,29.08140738239428,True
59,4,92.37135999116593,31.489665910540687,92.37135999116593,False
60,2,27.09677853185465,29.639492295222727,29.639492295222727,True
61,1,36.45463203383587,30.14215814045473,36.45463203383587,False
62,3,53.136755967141184,30.465569009485286,53.136755967141184,False
63,2,13.273265151460096,29.847802401497166,29.847802401497166,True
64,4,45.648837533717305,30.483495193976037,45.648837533717305,False
65,5,61.808228324249576,30.44174228276168,61.808228324249576,False
66,1,26.3827916447448,31.076393687505195,31.076393687505195,True
67,7,61.94023793518853,29.209227147880785,61.94023793518853,False
68,3,42.77779448075053,30.55257573733886,42.77779448075053,False
69,4,21.188107883028046,29.99626813340807,29.99626813340807,True
70,0,14.911470762027555,30.351963544984507,30.351963544984507,True
71,1,29.769168229777883,30.317392464092404,30.317392464092404,True
72,6,18.817208732582507,31.032842518933077,31.032842518933077,True
73,1,36.8576116872764,31.443733092945653,36.8576116872764,False
74,0,9.755579340839413,30.90053525604728,30.90053525604728,True
75,2,18.194632711612165,30.235091723499472,30.235091723499472,True
76,1,22.75756308813386,29.439439297145857,29.439439297145857,True
77,0,29.720743682510847,30.45973400457412,30.45973400457412,True
78,5,37.50306026509938,29.09000737556087,37.50306026509938,False
79,2,19.158525515838914,29.976135338006188,29.976135338006188,True
80,10,67.9200073871331,29.949455724351083,67.9200073871331,False
81,2,52.73747282886092,30.78651773812015,52.73747282886092,False
82,1,19.42301018968057,30.74381097592199,30.74381097592199,True
83,3,25.44454135190098,30.562143774036905,30.562143774036905,True
84,1,48.37224316729283,30.341808447585002,48.37224316729283,False
85,0,17.60527021509792,29.264490500373768,29.264490500373768,True
86,7,51.89666220289725,29.34739043457088,51.89666220289725,False
87,2,11.015600004476894,29.90325250279568,29.90325250279568,True
88,5,108.1646902073626,30.26414603842436,108.1646902073626,False
89,2,21.409650363655352,31.045234634445265,31.045234634445265,True
90,5,36.58723964178921,30.79921613046202,36.58723964178921,False
91,1,31.568575872920537,30.434484579054626,31.568575872920537,False
92,2,31.73776120367459,31.195203688360266,31.73776120367459,False
93,5,56.5290745263869,28.29353283075525,56.5290745263869,False
94,1,56.8697096533055,29.177551152318745,56.8697096533055,False
95,2,8.48370129624738,30.095079725050084,30.095079725050084,True
96,6,40.06489031160402,28.554971055218484,40.06489031160402,False
97,3,29.694249800264092,30.0096114649461,30.0096114649461,True
98,7,84.14566780371466,31.535060188294977,84.14566780371466,False
99,0,29.423525043172265,28.91847233815813,29.423525043172265,False
100,10,127.53791278052414,31.712346694705445,127.53791278052414,False
